Type,SS Name,X,Y
PMU,PMU Beaufort,5.355083,115.74125
PMU,PMU Kimanis,5.6495,115.892472
PMU,PMU Lansat,5.657056,115.907722
PMU,PMU UMS,6.03925,116.1305
PMU,PMU Alamesra,6.028083,116.136722
PMU,PMU Tanjung Lipat,5.991722,116.096667
PMU,PMU Jesselton,5.990083,116.080722
PMU,PMU Karamunsing,5.96925,116.069528
PMU,PMU Kepayan,5.9515,116.061417
PMU,PMU MININTOD,5.956861,116.131861
PMU,PMU Kolopis,5.928108,116.134886
PMU,PMU PENAMPANG,5.927556,116.092556
PMU,PMU Nabawan,5.046583,116.428806
PMU,PMU Keningau,5.336111,116.167306
PMU,PMU Northern Town,5.989722,116.080194
PMU,PMU Kolombong,5.980778,116.112806
PMU,PMU INANAM,5.986139,116.132528
PMU,PMU Unggun,6.082917,116.132472
PMU,PMU Kayu Madang (Sepanggar Bay),6.090111,116.165
PMU,PMU Dunggun,6.167833,116.218778
PMU,PMU Kota Belud,6.333611,116.396528
PMU,PMU Menggaris,6.536992,116.701705
PMU,PMU Kudat,6.901028,116.814333
PMU,PMU Sandakan,5.879083,118.003056
PMU,PMU ELOPURA,5.870306,118.094583
PMU,PMU SEGUNTOR,5.818528,118.020917
PMU,PMU Mowtas,5.796472,118.030889
PMU,PMU Bukit Nenas(Proposed),5.816167,118.064611
PMU,PMU Dam Road,5.055833,118.318111
PMU,PMU Lahad Datu,5.02636,118.341708
PMU,PMU Semporna,4.472361,118.560056
PPU,PPU Limbawang,5.380944,115.700639
PPU,PPU Pegalan,5.31275,116.163139
PPU,PPU ENEO,5.248583,115.24075
PPU,PPU Sembulan,5.970333,116.066889
PPU,PPU KOTA MARUDU,6.495833,116.760972
PPU,PPU Permai,5.801,118.039333
